iter	Passed	Remaining
908	25944	2597
909	25967	2568
910	25989	2539
911	26018	2510
912	26053	2482
913	26086	2454
914	26114	2425
915	26143	2397
916	26177	2369
917	26210	2341
918	26241	2312
919	26274	2284
920	26303	2256
921	26326	2227
922	26351	2198
923	26375	2169
924	26400	2140
925	26424	2111
926	26446	2082
927	26470	2053
928	26492	2024
929	26516	1995
930	26542	1967
931	26569	1938
932	26597	1909
933	26625	1881
934	26649	1852
935	26687	1824
936	26715	1796
937	26739	1767
938	26762	1738
939	26789	1709
940	26812	1681
941	26844	1652
942	26884	1625
943	26913	1596
944	26939	1567
945	26968	1539
946	26992	1510
947	27020	1482
948	27071	1454
949	27103	1426
950	27133	1398
951	27158	1369
952	27181	1340
953	27203	1311
954	27227	1282
955	27259	1254
956	27286	1226
957	27308	1197
958	27335	1168
959	27359	1139
960	27386	1111
961	27412	1082
962	27434	1054
963	27459	1025
964	27490	997
965	27516	968
966	27542	939
967	27572	911
968	27609	883
969	27638	854
970	27661	826
971	27683	797
972	27705	768
973	27726	740
974	27750	711
975	27772	682
976	27794	654
977	27816	625
978	27845	597
979	27868	568
980	27892	540
981	27919	511
982	27945	483
983	27974	454
984	28003	426
985	28046	398
986	28079	369
987	28104	341
988	28133	312
989	28162	284
990	28186	255
991	28216	227
992	28242	199
993	28268	170
994	28290	142
995	28313	113
996	28336	85
997	28360	56
998	28384	28
999	28407	0
